title,artist,url,location,date,ntracks,genres
Original Soundtrack,Casper Mcfadden,https://caspermcfadden.bandcamp.com/album/original-soundtrack,"Chicago, Illinois",2021-03-5,12,"['chicago', 'electronic', 'bedroompop', 'breakbeat', 'breakcore', 'happyhardcore', 'hell', 'love']"
I NEVER MEANT FOR THIS TO HAPPEN,GOLDEN BOY,https://deathbysheep.com/album/i-never-meant-for-this-to-happen?from=footer-cc-a1293771466,"New York, New York",2021-03-2,10,"['drum&bass', 'electronic', 'bass', 'breakcore', 'gabber', 'happybreakcore', 'happyhardcore', 'hardcore', 'jungle', 'raggajungle', 'steppa']"
Misdirection,Goreshit and Hitori Tori,https://goreshit.bandcamp.com/album/misdirection?from=footer-cc-a1293771466,UK,2021-04-01,9,"['electronic', 'idm', 'ambient', 'braindance', 'breakcore', 'breaks', 'electronic', 'goreshit', 'hackers', 'rave', 'speedcore', 'tracker']"
pppp​.​.​. parasites​.​eve (a collection of songs),Casper Mcfadden,https://deathbysheep.com/album/pppp-parasites-eve-a-collection-of-songs?from=footer-cc-a1293771466,"New York, New York",2021-03-31,7,"['drum&bass', 'electronic', 'breakcore', 'breaks', 'drumandbass', 'gabba', 'gabber', 'hardcore', 'jungle']"
Enter to Exit,enduser,https://end-user.bandcamp.com/album/enter-to-exit-2?from=footer-nn-a1293771466,"Stockholm, Sweden",2016-12-16,11,"['breakbeat', 'drum&bass', 'electronic', 'breakcore', 'downtempo', 'drum&bass', 'drumnbass', 'idm', 'melodicbreakcore']"
Fluids of Emotion [IT 44],Eris Drew,https://erisdrew.bandcamp.com/album/fluids-of-emotion-it-44?from=footer-nn-a1293771466,,2020-02-010,3,"['electronic', 'breakbeat', 'ecstaticbeats', 'house', 'love', 'motherbeat', 'rave']"
Heaven is for Quitters,FaltyDL,https://faltydl.bandcamp.com/album/heaven-is-for-quitters?from=footer-nn-a1293771466,"Brooklyn, New York",2016-10-21,13,"['electronic', 'breakbeat', 'dance', 'electronica', 'house', 'love']"
BREAK CORPS 2,Norm Corps,https://normcorps.bandcamp.com/album/break-corps-2?from=footer-cc-a1293771466,"Portland, Oregon",2021-01-15,23,"['electronic', 'breakbeat', 'breakcore', 'drumandbass', 'gabber', 'hardcore', 'jungle', 'noise', 'oldschoolrave', 'rave']"
Draining Love Story,Sewerslvt,https://geometriclullaby.bandcamp.com/album/draining-love-story?from=footer-cc-a1689792679,,2020-07-13,10,"['adelaide', 'drum&bass', 'electronic', 'atmosphericdrum&bass', 'breakcore', 'darkambient', 'depressivebreakcore', 'experimental', 'hypnagogic', 'jungle', 'postvaporwave', 'rave']"
RePorpoised Phantasies,Machine Girl,https://machinegirl.bandcamp.com/album/reporpoised-phantasies?from=footer-cc-a1689792679,"New York, New York",2020-07-3,5,"['electronic', 'experimental', 'breakcore', 'dance', 'drumandbass', 'electronic', 'footwork', 'hardcore', 'juke', 'jungle', 'rave']"
ap2,goreshit,https://suckpuck.com/album/ap2?from=footer-cc-a1689792679,"Odesa, Ukraine",2021-03-5,8,"['hardcorebreakbeat', 'breakcore', 'hardcore', 'neorave', 'rave', 'ravecore', 'speedcore']"
Found Sound,Touched Music,https://touched.bandcamp.com/album/found-sound?from=footer-nn-a1689792679,UK,2018-01-26,31,"['electronic', 'idm', 'ambient', 'braindance', 'electronica']"
SECRET RAVE 04,V/A,https://art-aud.bandcamp.com/album/secret-rave-04?from=footer-nn-a1689792679,Italy,2018-12-12,6,"['electronic', 'ambient', 'breakbeat', 'breaks', 'electronica', 'rave', 'secret', 'techno']"
Clubeighteen2thirty,Sim Hutchins,https://simhutchins.bandcamp.com/album/clubeighteen2thirty?from=footer-nn-a1689792679,"England, UK",2018-04-13,8,"['electronic', 'idm', 'ambient', 'ambientelectronic', 'club', 'electronic', 'electronica', 'industrial', 'rave', 'techno']"
Draining Love Story,Sewerslvt,https://sewerslvt.com/album/draining-love-story?from=footer-cc-a1689792679,"Adelaide, Australia",2020-01-25,10,"['drum&bass', 'electronic', 'experimental', 'ambient', 'atmosphericdrum&bass', 'breakcore', 'depressivebreakcore', 'jungle', 'rave', 'vaporwave']"
She Began To Cry Tears Of Blood Which Became Little Brick Houses When They Hit The Ground,Venetian Snares,https://venetiansnares.bandcamp.com/album/she-began-to-cry-tears-of-blood-which-became-little-brick-houses-when-they-hit-the-ground?from=footer-cc-a2822485944,"Winnipeg, Manitoba",2018-01-11,12,"['electronic', 'idm', 'modular', 'abstract', 'analog', 'breakcore', 'eurorack', 'harsh', 'jungle', 'noise', 'soundpoetry']"
Savage Sinusoid,Igorrr,https://igorrr.bandcamp.com/album/savage-sinusoid?from=footer-cc-a2822485944,France,2017-06-16,11,['alternative']
